Roll No,Name,Gender,Age,Maths,Physics,Chemistry,English,Computer,Total Marks,Percentage,Attendance (%),Extra Curricular
stu0001,pallavi doctor,femal,19,84,64,32,99,69,348,69.6,90.42,sport
stu0002,ubika gade,femal,19,40,73,54,76,0,243,48.6,62.21,scienc club
stu0003,sai munshi,femal,17,94,52,86,99,17,348,69.6,60.32,drama
stu0004,vedika bhagat,femal,21,26,100,58,97,7,288,57.6,61.29,scienc club
stu0005,charvi warrior,femal,19,86,67,96,10,69,328,65.6,91.6,sport
stu0006,darika handa,femal,18,63,24,11,5,8,111,22.2,88.55,scienc club
stu0007,yuvraj lad,male,17,93,75,24,34,81,307,61.4,82.66,music
stu0008,yashica thakur,femal,18,14,53,73,49,0,189,37.8,93.76,danc
stu0009,nitara mukhopadhyay,femal,21,84,44,82,56,33,299,59.8,79.33,music
stu0011,benjamin deo,male,17,75,44,19,86,1,225,45.0,70.63,danc
