Date,Transaction ID,Customer Name,Product,Category,Quantity,Unit Price,Total Amount,Payment Method
03/02/25,2079781255,Phillip Adams,Into,Bakery,5,128.11,640.55,Net Banking
18/01/25,8844433550,Steven Powell,Prevent,Bakery,1,96.79,96.79,Credit Card
13/02/25,8182863730,Michael Bentley,Apply,Dairy,10,223.49,2234.9,Debit Card
05/03/25,8043733122,Mark Watts,Agreement,Household,7,17.88,125.16,Cash
24/01/25,1536011247,Monica Fields,Maintain,Fruits & Vegetables,7,279.38,1955.66,Debit Card
08/02/25,5891939405,Mrs. Hannah Ross,Course,Personal Care,5,480.2,2401.0,Net Banking
25/03/25,2634362582,Tony Walker,Phone,Frozen Foods,7,48.63,340.41,UPI
25/01/25,9172580081,Joseph Adams,Rise,Bakery,1,458.55,458.55,Net Banking
04/03/25,4446358883,Elizabeth Pierce,Outside,Personal Care,4,401.58,1606.32,Cash
08/02/25,1775940663,Angela Jones,Listen,Snacks,3,420.37,1261.11,UPI
