Roll No,Name,Gender,Age,Maths,Physics,Chemistry,English,Computer,Total Marks,Percentage,Attendance (%),Extra Curricular
stu0001,pallavi doctor,femal,19,84,64,32,99,69,348,69.6,90.42,sport
stu0002,ubika gade,femal,19,40,73,54,76,0,243,48.6,62.21,scienc club
stu0003,sai munshi,femal,17,94,52,86,99,17,348,69.6,60.32,drama
stu0004,vedika bhagat,femal,21,26,100,58,97,7,288,57.6,61.29,scienc club
stu0005,charvi warrior,femal,19,86,67,96,10,69,328,65.6,91.6,sport
stu0006,darika handa,femal,18,63,24,11,5,8,111,22.2,88.55,scienc club
stu0007,yuvraj lad,male,17,93,75,24,34,81,307,61.4,82.66,music
stu0008,yashica thakur,femal,18,14,53,73,49,0,189,37.8,93.76,danc
stu0009,nitara mukhopadhyay,femal,21,84,44,82,56,33,299,59.8,79.33,music
stu0011,benjamin deo,male,17,75,44,19,86,1,225,45.0,70.63,danc
stu0012,yadavi mital,femal,20,2,64,60,27,69,222,44.4,95.1,danc
stu0013,jonathan magar,male,19,34,46,73,90,51,294,58.8,89.38,sport
stu0016,mitesh wagl,male,20,92,39,37,70,6,244,48.8,67.69,drama
stu0017,matthew devan,male,21,13,0,33,12,93,151,30.2,91.4,drama
stu0018,kavya toor,femal,18,60,25,83,23,48,239,47.8,93.38,danc
stu0019,vedhika nayar,femal,20,62,9,24,100,26,221,44.2,72.96,music
stu0020,lakshit bala,male,22,78,80,21,91,50,320,64.0,73.87,scienc club
stu0021,yashawini date,femal,19,46,19,100,70,90,325,65.0,87.26,music
stu0022,veer bhakta,male,20,99,26,58,83,46,312,62.4,87.12,scienc club
stu0023,harini varkey,femal,19,85,83,93,99,67,427,85.4,98.54,danc
stu0024,aarav thakur,male,19,13,54,29,93,41,230,46.0,89.88,sport
stu0025,agastya bhatt,male,19,43,17,57,75,90,282,56.4,81.82,sport
stu0026,elijah kala,male,17,12,31,7,58,89,197,39.4,90.4,danc
stu0027,vasatika solanki,femal,18,77,53,82,68,43,323,64.6,97.61,music
stu0028,hitesh mutti,male,17,41,81,6,85,60,273,54.6,88.91,scienc club
stu0029,upasna prasad,femal,21,64,13,28,46,61,212,42.4,93.58,sport
stu0030,yasti mander,femal,18,76,93,77,93,8,347,69.4,89.01,danc
stu0031,gautam ganesh,male,20,14,100,100,97,47,358,71.6,66.39,danc
stu0032,amrita narain,femal,18,30,24,35,57,43,189,37.8,71.7,drama
stu0033,bakhshi shanker,male,22,29,20,15,17,28,109,21.8,76.55,sport
stu0034,gaurika mammen,femal,20,9,1,90,43,24,167,33.4,68.83,scienc club
stu0037,ronith korpal,male,22,47,6,22,85,29,189,37.8,88.57,danc
stu0038,bahadurjit saini,male,19,70,82,55,59,30,296,59.2,98.0,drama
stu0039,frado rajagopalan,male,21,53,53,9,31,95,241,48.2,85.38,scienc club
stu0041,matthew kanda,male,17,65,33,14,26,51,189,37.8,79.64,scienc club
stu0042,eesha natarajan,femal,20,66,51,62,49,49,277,55.4,88.29,drama
stu0043,oscar sharaf,male,17,100,99,1,9,27,236,47.2,96.83,drama
stu0044,gaurang han,male,17,52,44,39,39,68,242,48.4,85.32,drama
stu0045,varsha sarma,femal,22,18,45,45,96,0,204,40.8,86.49,danc
stu0047,reyansh goyal,male,20,29,35,1,3,93,161,32.2,79.25,drama
stu0048,dhriti kulkarni,femal,18,88,81,45,45,52,311,62.2,62.74,drama
stu0049,kamya sibal,femal,21,49,7,90,100,37,283,56.6,73.16,sport
stu0051,brinda purohit,femal,20,61,34,62,64,11,232,46.4,73.7,music
stu0052,lakshit boas,male,18,37,10,70,37,20,174,34.8,87.58,sport
stu0055,praneel subramaniam,male,18,72,58,98,33,78,339,67.8,76.94,drama
stu0056,vritti vaidya,femal,21,38,72,32,63,65,270,54.0,83.86,scienc club
stu0057,nitesh saran,male,22,89,45,30,99,36,299,59.8,80.98,danc
stu0058,vivaan bumb,male,20,31,95,60,21,31,238,47.6,95.83,drama
stu0059,vamakshi deo,femal,18,67,77,93,81,41,359,71.8,96.0,danc
stu0060,ekaraj barad,male,20,45,34,100,51,72,302,60.4,78.56,danc
stu0061,ucchal sandal,femal,18,71,17,68,2,66,224,44.8,62.11,drama
stu0062,gaurang dara,male,22,80,66,63,83,63,355,71.0,99.68,scienc club
stu0063,leena thaman,femal,19,45,53,88,44,26,256,51.2,70.53,danc
stu0064,kamala bhattacharyya,femal,20,76,32,32,92,98,330,66.0,63.81,scienc club
stu0065,jeevika raghavan,femal,19,38,97,88,31,99,353,70.6,71.35,scienc club
stu0066,chatresh chad,male,18,55,39,55,81,80,310,62.0,64.08,danc
stu0070,nitara chand,femal,18,61,70,53,4,64,252,50.4,88.3,danc
stu0071,balvan doctor,male,20,100,52,33,96,4,285,57.0,93.86,drama
stu0072,neel ambl,male,19,1,25,92,45,58,221,44.2,94.15,scienc club
stu0074,sachi mall,femal,20,12,40,46,0,59,157,31.4,80.53,danc
stu0080,wahab gupta,male,18,84,66,27,57,71,305,61.0,64.89,scienc club
stu0082,deepa narayanan,femal,22,15,79,43,62,7,206,41.2,79.24,sport
stu0083,quinci chawla,male,21,65,56,12,18,91,242,48.4,76.75,danc
stu0084,darika lala,femal,18,62,2,21,63,53,201,40.2,86.17,drama
stu0085,ishanvi ganguli,femal,18,16,90,62,56,95,319,63.8,97.52,danc
stu0086,urishilla shukla,femal,19,37,0,85,78,64,264,52.8,74.09,sport
stu0087,hredhaan chatterje,male,22,97,6,22,85,92,302,60.4,89.91,sport
stu0088,kiaan golla,male,18,68,52,15,56,36,227,45.4,70.89,music
stu0089,ria dalal,femal,22,94,40,53,93,42,322,64.4,85.6,scienc club
stu0090,maya ghose,femal,20,93,84,10,7,11,205,41.0,70.02,danc
stu0091,hitesh savant,male,18,68,24,96,51,41,280,56.0,64.99,sport
stu0092,pranav badal,male,20,61,45,0,64,37,207,41.4,80.92,danc
stu0093,indali cheema,femal,19,2,19,78,6,79,184,36.8,75.04,drama
stu0095,siddharth magar,male,22,23,40,85,99,93,340,68.0,98.67,danc
stu0096,jonathan dutt,male,19,62,64,36,93,66,321,64.2,61.63,danc
stu0097,girindra ganguli,male,22,7,98,99,61,76,341,68.2,68.03,drama
stu0098,vrishti desai,femal,17,30,53,17,13,83,196,39.2,73.45,scienc club
stu0100,rohan randhawa,male,17,21,1,24,82,59,187,37.4,72.02,danc
stu0101,charl gandhi,male,20,56,58,73,10,84,281,56.2,77.38,scienc club
stu0102,benjamin agarw,male,21,26,8,57,87,13,191,38.2,67.95,sport
stu0103,avi mitra,male,18,34,31,92,86,40,283,56.6,69.32,danc
stu0104,fariq deol,male,17,44,40,100,34,6,224,44.8,80.02,sport
stu0105,vrinda sheth,femal,19,93,3,42,29,77,244,48.8,77.11,music
stu0106,owen agarw,male,17,12,8,44,28,64,156,31.2,67.77,scienc club
stu0107,eta chander,femal,17,88,31,55,47,22,243,48.6,63.68,sport
stu0108,farhan kara,male,17,55,25,21,25,35,161,32.2,65.79,sport
stu0109,riya gara,femal,19,27,87,26,21,89,250,50.0,93.29,music
stu0110,aishani ramakrishnan,femal,21,89,70,10,52,83,304,60.8,70.76,drama
stu0112,chaitali tandon,femal,21,62,28,37,57,19,203,40.6,60.77,drama
stu0114,ridhi gulati,femal,21,34,100,17,93,30,274,54.8,92.59,drama
stu0115,harshil kumar,male,22,16,22,41,45,85,209,41.8,62.66,drama
stu0116,naveen sekhon,male,20,6,28,56,3,5,98,19.6,71.54,drama
stu0117,wyatt rout,male,19,2,19,8,94,9,132,26.4,89.35,sport
stu0118,ubika dass,femal,17,37,31,30,75,91,264,52.8,75.1,music
stu0120,mitali tailor,femal,22,90,25,63,83,43,304,60.8,96.4,drama
stu0122,sneha kanda,femal,22,85,30,35,19,21,190,38.0,83.11,drama
stu0123,theodor nagar,male,20,94,58,76,96,90,414,82.8,78.31,drama
stu0124,triveni khalsa,femal,21,82,56,90,29,55,312,62.4,96.82,music
stu0125,neha minha,femal,17,23,25,30,42,59,179,35.8,63.95,drama
stu0126,lakshit vig,male,22,10,57,32,60,35,194,38.8,79.85,drama
stu0127,naksh viswanathan,male,22,50,79,3,90,56,278,55.6,97.57,scienc club
stu0128,eshana parikh,femal,18,27,96,32,22,15,192,38.4,67.89,music
stu0129,advika khosla,femal,18,44,32,24,31,49,180,36.0,80.07,drama
stu0130,aditya talwar,male,21,28,78,89,97,77,369,73.8,90.62,scienc club
stu0131,fariq ray,male,17,63,51,97,78,18,307,61.4,89.54,scienc club
stu0132,bhanumati lalla,femal,22,23,32,89,96,7,247,49.4,96.52,danc
stu0133,advay sarna,male,22,91,88,35,85,86,385,77.0,73.07,drama
stu0136,bhavna badal,femal,21,77,14,97,5,75,268,53.6,73.01,scienc club
stu0137,avi lal,male,22,12,25,59,32,28,156,31.2,76.97,sport
stu0138,mitesh tandon,male,21,83,75,91,58,5,312,62.4,87.07,scienc club
stu0139,chatura chatterje,male,21,47,57,83,11,1,199,39.8,70.88,sport
stu0140,tara batta,femal,17,32,47,60,28,45,212,42.4,80.23,sport
stu0141,jonathan vora,male,17,16,23,61,88,17,205,41.0,79.52,drama
stu0142,manbir sarraf,male,19,9,49,76,31,81,246,49.2,62.94,scienc club
stu0143,advik kibe,male,19,92,66,21,23,51,253,50.6,80.68,music
