Date,Transaction ID,Customer Name,Product,Category,Quantity,Unit Price,Total Amount,Payment Method
03/02/25,2079781255,Phillip Adams,Into,Bakery,5,128.11,640.55,Net Banking
18/01/25,8844433550,Steven Powell,Prevent,Bakery,1,96.79,96.79,Credit Card
13/02/25,8182863730,Michael Bentley,Apply,Dairy,10,223.49,2234.9,Debit Card
05/03/25,8043733122,Mark Watts,Agreement,Household,7,17.88,125.16,Cash
24/01/25,1536011247,Monica Fields,Maintain,Fruits & Vegetables,7,279.38,1955.66,Debit Card
08/02/25,5891939405,Mrs. Hannah Ross,Course,Personal Care,5,480.2,2401,Net Banking
25/03/25,2634362582,Tony Walker,Phone,Frozen Foods,7,48.63,340.41,UPI
25/01/25,9172580081,Joseph Adams,Rise,Bakery,1,458.55,458.55,Net Banking
04/03/25,4446358883,Elizabeth Pierce,Outside,Personal Care,4,401.58,1606.32,Cash
08/02/25,1775940663,Angela Jones,Listen,Snacks,3,420.37,1261.11,UPI
27/03/25,7334470624,Philip Rice,Knowledge,Fruits & Vegetables,8,208.97,1671.76,Net Banking
09/01/25,5876552977,Mr. Daniel Phillips,Why,Personal Care,5,296.98,1484.9,Credit Card
12/03/25,3294848130,Charlotte Odom,From,Snacks,3,157.02,471.06,Cash
10/01/25,6440130616,Thomas Williams,Hotel,Fruits & Vegetables,3,323.02,969.06,Debit Card
16/03/25,4088750748,Angel Smith,Together,Frozen Foods,2,96.74,193.48,Net Banking
08/04/25,5050866751,Erin Smith,Build,Fruits & Vegetables,9,155.97,1403.73,Net Banking
28/02/25,1511374673,Connie Shaw,Very,Beverages,3,289.18,867.54,Debit Card
09/03/25,8986176048,Lindsay Ramirez,Once,Bakery,7,293.72,2056.04,Credit Card
03/03/25,2360602421,Shelly Robbins,Student,Household,1,242.91,242.91,Net Banking
28/01/25,7180472396,Gloria Allison,Authority,Household,5,131.11,655.55,Cash
07/03/25,9900459164,Lindsey Young,Section,Household,9,19.06,171.54,Debit Card
18/01/25,6165115273,Lisa Ball,Ever,Dairy,1,249.31,249.31,Cash
02/04/25,5451137801,William Yates,Week,Beverages,4,200.23,800.92,Net Banking
21/03/25,3180840437,Katherine Williams,Reduce,Bakery,10,474.19,4741.9,Credit Card
27/01/25,3498939901,Chelsea Cox,Professor,Frozen Foods,4,28.89,115.56,Credit Card
17/02/25,6365526264,Joseph Garcia,Old,Bakery,1,69.56,69.56,Cash
07/03/25,3330451450,Jay Smith,Need,Frozen Foods,8,42.27,338.16,Cash
19/01/25,4961929760,Diana Santiago,Start,Snacks,5,173.53,867.65,Cash
30/01/25,1444592676,Troy Pope,Mouth,Beverages,10,226.83,2268.3,UPI
21/03/25,7626922059,Matthew Gordon,Cultural,Household,7,271.54,1900.78,Debit Card
22/01/25,1408776729,Jimmy Thompson,Fall,Household,3,413.11,1239.33,Cash
25/02/25,5679306442,Jay Huynh,Pressure,Dairy,1,244.48,244.48,Credit Card
19/01/25,6587663928,Lee Lara,Mean,Frozen Foods,10,24.56,245.6,Cash
09/03/25,5836988850,Christopher Oliver,Bill,Fruits & Vegetables,10,28.46,284.6,UPI
15/01/25,9464679433,Kylie Carpenter,Production,Personal Care,8,442.5,3540,UPI
21/03/25,7387914517,Arthur Garrison,Involve,Beverages,1,376.3,376.3,UPI
28/03/25,2126783651,William Ward,Option,Personal Care,3,113.54,340.62,Debit Card
16/02/25,9817468945,Catherine Barber,Time,Household,5,190.03,950.15,Net Banking
06/04/25,6409590204,Martin Schneider,Paper,Snacks,1,358.16,358.16,UPI
24/02/25,5412562057,Christopher Taylor,Dream,Household,3,19.33,57.99,UPI
31/01/25,9974566277,Luis Villanueva,Various,Fruits & Vegetables,7,337.9,2365.3,Credit Card
