Roll No,Name,Gender,Age,Maths,Physics,Chemistry,English,Computer,Total Marks,Percentage,Attendance (%),Extra Curricular,Maths_Standardized,Gender_Encoded,Extra Curricular_Dance,Extra Curricular_Drama,Extra Curricular_Music,Extra Curricular_None,Extra Curricular_Science Club,Extra Curricular_Sports
STU0001,Pallavi Doctor,Female,19,84,64,32,99,69,348,69.6,90.42,Sports,1.1698433823172865,0,0.0,0.0,0.0,0.0,0.0,1.0
STU0002,Ubika Gade,Female,19,40,73,54,76,0,243,48.6,62.21,Science Club,-0.34442788215554854,0,0.0,0.0,0.0,0.0,1.0,0.0
STU0003,Sai Munshi,Female,17,94,52,86,99,17,348,69.6,60.32,Drama,1.5139959424247489,0,0.0,1.0,0.0,0.0,0.0,0.0
STU0004,Vedika Bhagat,Female,21,26,100,58,97,7,288,57.6,61.29,Science Club,-0.826241466305996,0,0.0,0.0,0.0,0.0,1.0,0.0
STU0005,Charvi Warrior,Female,19,86,67,96,10,69,328,65.6,91.6,Sports,1.238673894338779,0,0.0,0.0,0.0,0.0,0.0,1.0
STU0006,Darika Handa,Female,18,63,24,11,5,8,111,22.2,88.55,Science Club,0.44712300609161515,0,0.0,0.0,0.0,0.0,1.0,0.0
STU0007,Yuvraj Lad,Male,17,93,75,24,34,81,307,61.4,82.66,Music,1.4795806864140026,1,0.0,0.0,1.0,0.0,0.0,0.0
STU0008,Yashica Thakur,Female,18,14,53,73,49,0,189,37.8,93.76,Dance,-1.239224538434951,0,1.0,0.0,0.0,0.0,0.0,0.0
STU0009,Nitara Mukhopadhyay,Female,21,84,44,82,56,33,299,59.8,79.33,Music,1.1698433823172865,0,0.0,0.0,1.0,0.0,0.0,0.0
STU0010,Udarsh Pillay,Male,18,90,43,98,43,23,297,59.4,79.05,None,1.376334918381764,1,0.0,0.0,0.0,1.0,0.0,0.0
STU0011,Benjamin Deo,Male,17,75,44,19,86,1,225,45.0,70.63,Dance,0.8601060782205702,1,1.0,0.0,0.0,0.0,0.0,0.0
STU0012,Yadavi Mital,Female,20,2,64,60,27,69,222,44.4,95.1,Dance,-1.652207610563906,0,1.0,0.0,0.0,0.0,0.0,0.0
STU0013,Jonathan Magar,Male,19,34,46,73,90,51,294,58.8,89.38,Sports,-0.550919418220026,1,0.0,0.0,0.0,0.0,0.0,1.0
STU0014,Arunima Manda,Female,20,10,34,42,47,30,163,32.6,81.17,None,-1.376885562477936,0,0.0,0.0,0.0,1.0,0.0,0.0
STU0015,Falak Rajagopal,Female,21,26,16,11,20,83,156,31.2,69.05,None,-0.826241466305996,0,0.0,0.0,0.0,1.0,0.0,0.0
