Roll No,Name,Gender,Age,Maths,Physics,Chemistry,English,Computer,Total Marks,Percentage,Attendance (%),Extra Curricular
STU0001,Pallavi Doctor,Female,19,84,64,32,99,69,348,69.6,90.42,Sports
STU0002,Ubika Gade,Female,19,40,73,54,76,0,243,48.6,62.21,Science Club
STU0003,Sai Munshi,Female,17,94,52,86,99,17,348,69.6,60.32,Drama
STU0004,Vedika Bhagat,Female,21,26,100,58,97,7,288,57.6,61.29,Science Club
STU0005,Charvi Warrior,Female,19,86,67,96,10,69,328,65.6,91.6,Sports
STU0006,Darika Handa,Female,18,63,24,11,5,8,111,22.2,88.55,Science Club
STU0007,Yuvraj Lad,Male,17,93,75,24,34,81,307,61.4,82.66,Music
STU0008,Yashica Thakur,Female,18,14,53,73,49,0,189,37.8,93.76,Dance
STU0009,Nitara Mukhopadhyay,Female,21,84,44,82,56,33,299,59.8,79.33,Music
STU0010,Udarsh Pillay,Male,18,90,43,98,43,23,297,59.4,79.05,None
STU0011,Benjamin Deo,Male,17,75,44,19,86,1,225,45,70.63,Dance
STU0012,Yadavi Mital,Female,20,2,64,60,27,69,222,44.4,95.1,Dance
STU0013,Jonathan Magar,Male,19,34,46,73,90,51,294,58.8,89.38,Sports
STU0014,Arunima Manda,Female,20,10,34,42,47,30,163,32.6,81.17,None
STU0015,Falak Rajagopal,Female,21,26,16,11,20,83,156,31.2,69.05,None
STU0016,Mitesh Wagle,Male,20,92,39,37,70,6,244,48.8,67.69,Drama
STU0017,Matthew Devan,Male,21,13,0,33,12,93,151,30.2,91.4,Drama
STU0018,Kavya Toor,Female,18,60,25,83,23,48,239,47.8,93.38,Dance
STU0019,Vedhika Nayar,Female,20,62,9,24,100,26,221,44.2,72.96,Music
STU0020,Lakshit Bala,Male,22,78,80,21,91,50,320,64,73.87,Science Club
STU0021,Yashawini Date,Female,19,46,19,100,70,90,325,65,87.26,Music
STU0022,Veer Bhakta,Male,20,99,26,58,83,46,312,62.4,87.12,Science Club
STU0023,Harini Varkey,Female,19,85,83,93,99,67,427,85.4,98.54,Dance
STU0024,Aarav Thakur,Male,19,13,54,29,93,41,230,46,89.88,Sports
STU0025,Agastya Bhatt,Male,19,43,17,57,75,90,282,56.4,81.82,Sports
STU0026,Elijah Kala,Male,17,12,31,7,58,89,197,39.4,90.4,Dance
STU0027,Vasatika Solanki,Female,18,77,53,82,68,43,323,64.6,97.61,Music
STU0028,Hitesh Mutti,Male,17,41,81,6,85,60,273,54.6,88.91,Science Club
STU0029,Upasna Prasad,Female,21,64,13,28,46,61,212,42.4,93.58,Sports
STU0030,Yasti Mander,Female,18,76,93,77,93,8,347,69.4,89.01,Dance
STU0031,Gautam Ganesh,Male,20,14,100,100,97,47,358,71.6,66.39,Dance
STU0032,Amrita Narain,Female,18,30,24,35,57,43,189,37.8,71.7,Drama
STU0033,Bakhshi Shanker,Male,22,29,20,15,17,28,109,21.8,76.55,Sports
STU0034,Gaurika Mammen,Female,20,9,1,90,43,24,167,33.4,68.83,Science Club
STU0035,Gaurang Bains,Male,22,50,18,39,80,52,239,47.8,81.61,None
STU0036,Maya Kalla,Female,17,50,39,49,65,28,231,46.2,94.93,None
STU0037,Ronith Korpal,Male,22,47,6,22,85,29,189,37.8,88.57,Dance
STU0038,Bahadurjit Saini,Male,19,70,82,55,59,30,296,59.2,98,Drama
STU0039,Frado Rajagopalan,Male,21,53,53,9,31,95,241,48.2,85.38,Science Club
STU0040,Jonathan Muni,Male,18,78,57,34,50,34,253,50.6,66.11,None
STU0041,Matthew Kanda,Male,17,65,33,14,26,51,189,37.8,79.64,Science Club
STU0042,Eesha Natarajan,Female,20,66,51,62,49,49,277,55.4,88.29,Drama
STU0043,Oscar Sharaf,Male,17,100,99,1,9,27,236,47.2,96.83,Drama
STU0044,Gaurang Hans,Male,17,52,44,39,39,68,242,48.4,85.32,Drama
STU0045,Varsha Sarma,Female,22,18,45,45,96,0,204,40.8,86.49,Dance
STU0046,Unnati Palan,Female,18,60,27,50,62,10,209,41.8,66.75,None
STU0047,Reyansh Goyal,Male,20,29,35,1,3,93,161,32.2,79.25,Drama
STU0048,Dhriti Kulkarni,Female,18,88,81,45,45,52,311,62.2,62.74,Drama
STU0049,Kamya Sibal,Female,21,49,7,90,100,37,283,56.6,73.16,Sports
STU0050,Oni Sahota,Female,22,56,46,98,77,86,363,72.6,97.64,None
STU0051,Brinda Purohit,Female,20,61,34,62,64,11,232,46.4,73.7,Music
STU0052,Lakshit Boase,Male,18,37,10,70,37,20,174,34.8,87.58,Sports
STU0053,Vedika Uppal,Female,20,43,94,48,79,6,270,54,66.19,None
STU0054,Vedhika Doctor,Female,21,47,53,64,47,83,294,58.8,95.2,None
STU0055,Praneel Subramaniam,Male,18,72,58,98,33,78,339,67.8,76.94,Drama
STU0056,Vritti Vaidya,Female,21,38,72,32,63,65,270,54,83.86,Science Club
STU0057,Nitesh Saran,Male,22,89,45,30,99,36,299,59.8,80.98,Dance
STU0058,Vivaan Bumb,Male,20,31,95,60,21,31,238,47.6,95.83,Drama
STU0059,Vamakshi Deo,Female,18,67,77,93,81,41,359,71.8,96,Dance
STU0060,Ekaraj Barad,Male,20,45,34,100,51,72,302,60.4,78.56,Dance
STU0061,Ucchal Sandal,Female,18,71,17,68,2,66,224,44.8,62.11,Drama
STU0062,Gaurang Dara,Male,22,80,66,63,83,63,355,71,99.68,Science Club
STU0063,Leena Thaman,Female,19,45,53,88,44,26,256,51.2,70.53,Dance
STU0064,Kamala Bhattacharyya,Female,20,76,32,32,92,98,330,66,63.81,Science Club
STU0065,Jeevika Raghavan,Female,19,38,97,88,31,99,353,70.6,71.35,Science Club
STU0066,Chatresh Chad,Male,18,55,39,55,81,80,310,62,64.08,Dance
STU0067,Oviya Mall,Female,22,78,54,83,16,6,237,47.4,60.22,None
STU0068,Samarth Krishnamurthy,Male,17,57,31,63,57,80,288,57.6,96.56,None
STU0069,Abha Garg,Female,21,56,44,61,39,29,229,45.8,96.13,None
STU0070,Nitara Chand,Female,18,61,70,53,4,64,252,50.4,88.3,Dance
STU0071,Balvan Doctor,Male,20,100,52,33,96,4,285,57,93.86,Drama
STU0072,Neel Amble,Male,19,1,25,92,45,58,221,44.2,94.15,Science Club
STU0073,William Randhawa,Male,19,7,44,11,76,76,214,42.8,64.16,None
STU0074,Sachi Mall,Female,20,12,40,46,0,59,157,31.4,80.53,Dance
STU0075,Diya Tandon,Female,22,69,73,69,72,12,295,59,90.06,None
STU0076,Veda Subramanian,Female,17,48,62,43,67,24,244,48.8,87.4,None
STU0077,Odika Toor,Female,19,44,70,34,47,84,279,55.8,80.6,None
STU0078,Wakeeta Narang,Female,17,28,89,20,71,64,272,54.4,87.8,None
STU0079,Jonathan Sagar,Male,18,59,24,41,99,49,272,54.4,92.78,None
STU0080,Wahab Gupta,Male,18,84,66,27,57,71,305,61,64.89,Science Club
STU0081,Upma Varghese,Female,18,41,40,26,26,25,158,31.6,72.92,None
STU0082,Deepa Narayanan,Female,22,15,79,43,62,7,206,41.2,79.24,Sports
STU0083,Quincy Chawla,Male,21,65,56,12,18,91,242,48.4,76.75,Dance
STU0084,Darika Lala,Female,18,62,2,21,63,53,201,40.2,86.17,Drama
STU0085,Ishanvi Ganguly,Female,18,16,90,62,56,95,319,63.8,97.52,Dance
STU0086,Urishilla Shukla,Female,19,37,0,85,78,64,264,52.8,74.09,Sports
STU0087,Hredhaan Chatterjee,Male,22,97,6,22,85,92,302,60.4,89.91,Sports
STU0088,Kiaan Golla,Male,18,68,52,15,56,36,227,45.4,70.89,Music
STU0089,Ria Dalal,Female,22,94,40,53,93,42,322,64.4,85.6,Science Club
STU0090,Maya Ghose,Female,20,93,84,10,7,11,205,41,70.02,Dance
STU0091,Hitesh Savant,Male,18,68,24,96,51,41,280,56,64.99,Sports
STU0092,Pranav Badal,Male,20,61,45,0,64,37,207,41.4,80.92,Dance
STU0093,Indali Cheema,Female,19,2,19,78,6,79,184,36.8,75.04,Drama
STU0094,Darsh Kanda,Male,19,77,45,2,43,32,199,39.8,76.42,None
STU0095,Siddharth Magar,Male,22,23,40,85,99,93,340,68,98.67,Dance
STU0096,Jonathan Dutt,Male,19,62,64,36,93,66,321,64.2,61.63,Dance
STU0097,Girindra Ganguly,Male,22,7,98,99,61,76,341,68.2,68.03,Drama
STU0098,Vrishti Desai,Female,17,30,53,17,13,83,196,39.2,73.45,Science Club
STU0099,Aahana Raghavan,Female,21,16,85,57,7,31,196,39.2,76.24,None
STU0100,Rohan Randhawa,Male,17,21,1,24,82,59,187,37.4,72.02,Dance
STU0101,Charles Gandhi,Male,20,56,58,73,10,84,281,56.2,77.38,Science Club
STU0102,Benjamin Agarwal,Male,21,26,8,57,87,13,191,38.2,67.95,Sports
STU0103,Avi Mitra,Male,18,34,31,92,86,40,283,56.6,69.32,Dance
STU0104,Fariq Deol,Male,17,44,40,100,34,6,224,44.8,80.02,Sports
STU0105,Vrinda Sheth,Female,19,93,3,42,29,77,244,48.8,77.11,Music
STU0106,Owen Agarwal,Male,17,12,8,44,28,64,156,31.2,67.77,Science Club
STU0107,Eta Chander,Female,17,88,31,55,47,22,243,48.6,63.68,Sports
STU0108,Farhan Kara,Male,17,55,25,21,25,35,161,32.2,65.79,Sports
STU0109,Riya Gara,Female,19,27,87,26,21,89,250,50,93.29,Music
STU0110,Aishani Ramakrishnan,Female,21,89,70,10,52,83,304,60.8,70.76,Drama
STU0111,Nidhi Subramaniam,Female,19,37,43,53,11,86,230,46,60.59,None
STU0112,Chaitaly Tandon,Female,21,62,28,37,57,19,203,40.6,60.77,Drama
STU0113,Girish Krish,Male,19,59,98,83,23,64,327,65.4,98.87,None
STU0114,Ridhi Gulati,Female,21,34,100,17,93,30,274,54.8,92.59,Drama
STU0115,Harshil Kumar,Male,22,16,22,41,45,85,209,41.8,62.66,Drama
STU0116,Naveen Sekhon,Male,20,6,28,56,3,5,98,19.6,71.54,Drama
STU0117,Wyatt Rout,Male,19,2,19,8,94,9,132,26.4,89.35,Sports
STU0118,Ubika Dass,Female,17,37,31,30,75,91,264,52.8,75.1,Music
STU0119,Edhitha Balasubramanian,Female,20,23,85,55,4,4,171,34.2,72.27,None
STU0120,Mitali Tailor,Female,22,90,25,63,83,43,304,60.8,96.4,Drama
STU0121,Kai Dugal,Male,20,47,82,81,95,63,368,73.6,89.35,None
STU0122,Sneha Kanda,Female,22,85,30,35,19,21,190,38,83.11,Drama
STU0123,Theodore Nagar,Male,20,94,58,76,96,90,414,82.8,78.31,Drama
STU0124,Triveni Khalsa,Female,21,82,56,90,29,55,312,62.4,96.82,Music
STU0125,Neha Minhas,Female,17,23,25,30,42,59,179,35.8,63.95,Drama
STU0126,Lakshit Vig,Male,22,10,57,32,60,35,194,38.8,79.85,Drama
STU0127,Naksh Viswanathan,Male,22,50,79,3,90,56,278,55.6,97.57,Science Club
STU0128,Eshana Parikh,Female,18,27,96,32,22,15,192,38.4,67.89,Music
STU0129,Advika Khosla,Female,18,44,32,24,31,49,180,36,80.07,Drama
STU0130,Aditya Talwar,Male,21,28,78,89,97,77,369,73.8,90.62,Science Club
STU0131,Fariq Ray,Male,17,63,51,97,78,18,307,61.4,89.54,Science Club
STU0132,Bhanumati Lalla,Female,22,23,32,89,96,7,247,49.4,96.52,Dance
STU0133,Advay Sarna,Male,22,91,88,35,85,86,385,77,73.07,Drama
STU0134,Naksh Dass,Male,22,80,53,38,69,75,315,63,61.24,None
STU0135,Fiyaz Khosla,Male,21,41,77,92,84,38,332,66.4,76.38,None
STU0136,Bhavna Badal,Female,21,77,14,97,5,75,268,53.6,73.01,Science Club
STU0137,Avi Lal,Male,22,12,25,59,32,28,156,31.2,76.97,Sports
STU0138,Mitesh Tandon,Male,21,83,75,91,58,5,312,62.4,87.07,Science Club
STU0139,Chatura Chatterjee,Male,21,47,57,83,11,1,199,39.8,70.88,Sports
STU0140,Tara Batta,Female,17,32,47,60,28,45,212,42.4,80.23,Sports
STU0141,Jonathan Vora,Male,17,16,23,61,88,17,205,41,79.52,Drama
STU0142,Manbir Sarraf,Male,19,9,49,76,31,81,246,49.2,62.94,Science Club
